machine_id,criticality,production_line,n_incidents,mean_severity,mean_confidence,mean_temperature_c,mean_pressure_bar,mean_voltage_mean_v,mean_rotation_mean_rpm,mean_pieces_produced,n_maintenance,mean_duration,n_reactive
MACH-01,MEDIUM,Ligne-A,55,1.764,0.113,48.51,195.754,227.471,1492.79,36.303,8,2.164,2
MACH-02,LOW,Ligne-A,57,1.684,0.113,44.192,199.195,226.44,1535.893,37.784,7,3.059,1
MACH-03,HIGH,Ligne-B,64,1.703,0.113,51.133,200.899,230.45,1654.88,66.346,7,2.286,1
MACH-04,LOW,Ligne-C,64,1.734,0.115,43.845,194.479,225.456,1469.397,35.486,8,3.699,2
MACH-05,HIGH,Ligne-C,62,1.661,0.115,48.447,201.84,229.477,1655.311,64.847,9,2.806,3
MACH-06,LOW,Ligne-A,73,1.562,0.111,47.205,198.94,228.447,1603.838,63.239,7,3.116,1
MACH-07,MEDIUM,Ligne-A,50,1.7,0.111,44.964,201.477,227.448,1639.65,67.131,7,2.971,1
MACH-08,HIGH,Ligne-B,66,1.606,0.113,50.672,203.822,231.49,1702.844,54.192,8,3.262,2
MACH-09,MEDIUM,Ligne-B,62,1.548,0.113,47.876,197.41,227.456,1569.256,49.827,9,2.693,3
MACH-10,LOW,Ligne-A,74,1.716,0.114,45.488,194.618,225.445,1481.682,36.904,8,3.343,2
MACH-11,MEDIUM,Ligne-B,43,1.651,0.111,46.034,198.359,226.449,1548.106,46.927,8,2.992,2
MACH-12,MEDIUM,Ligne-B,62,1.774,0.115,43.445,196.837,224.455,1484.493,39.216,8,3.204,2
MACH-13,MEDIUM,Ligne-C,60,1.517,0.111,49.997,199.127,229.459,1606.378,43.004,6,2.617,0
MACH-14,LOW,Ligne-A,57,1.807,0.111,47.336,198.884,227.477,1574.482,55.867,6,2.075,0
MACH-15,MEDIUM,Ligne-A,51,1.608,0.115,46.163,197.126,226.467,1535.974,48.334,9,3.498,3
